date,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
2026-03-01,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453,499756.453
2026-04-01,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,470000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,470000.0,490000.0,490000.0,490000.0,490000.0,490000.0,470000.0,490000.0,490000.0,490000.0,470000.0,490000.0,470000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0,490000.0
2026-05-01,599970.0,599970.0,599970.0,600000.0,600000.0,600000.0,470000.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0,470000.0,599970.0,599970.0,599970.0,599970.0,599970.0,470000.0,599970.0,599970.0,599970.0,470000.0,599970.0,470000.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0,599970.0
2026-06-01,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,500000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,500000.0,800000.0,800000.0,800000.0,800000.0,800000.0,500000.0,800000.0,800000.0,800000.0,500000.0,800000.0,500000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0
2026-07-01,890000.0,575660.0,890000.0,890000.0,890000.0,890000.0,560000.0,890000.0,788780.0,869710.0,890000.0,890000.0,853140.0,890000.0,560000.0,890000.0,890000.0,890000.0,890000.0,637590.0,560000.0,890000.0,890000.0,890000.0,560000.0,890000.0,560000.0,890000.0,890000.0,890000.0,875550.0,890000.0,890000.0,890000.0,702980.0,890000.0
2026-08-01,445560.0,400960.0,900000.0,900000.0,900000.0,900000.0,481940.0,900000.0,400960.0,400960.0,900000.0,900000.0,400960.0,587310.0,481940.0,900000.0,900000.0,900000.0,400960.0,400960.0,481940.0,609630.0,400960.0,473200.0,481940.0,400960.0,481940.0,900000.0,539340.0,900000.0,400960.0,900000.0,400960.0,889920.0,400960.0,429540.0
2026-09-01,388030.0,388030.0,670000.0,669968.0,669968.0,669968.0,388030.0,417240.0,388030.0,388030.0,388800.0,417410.0,388030.0,388030.0,388030.0,670000.0,409370.0,388030.0,388030.0,388030.0,388030.0,388030.0,388030.0,388030.0,388030.0,388030.0,388030.0,670000.0,388030.0,621930.0,388030.0,670000.0,388030.0,388030.0,388030.0,388030.0
2026-10-01,400960.0,400960.0,480000.0,480000.0,480000.0,480000.0,410000.0,410000.0,400960.0,410000.0,480000.0,474210.0,400960.0,480000.0,410000.0,410000.0,496360.0,400960.0,400960.0,400960.0,480000.0,400960.0,400960.0,410000.0,400960.0,410000.0,410000.0,480000.0,400960.0,480000.0,400960.0,480000.0,400960.0,410000.0,400960.0,410000.0
2026-11-01,388030.0,388030.0,500000.0,500000.0,500000.0,500000.0,430000.0,430000.0,388030.0,430000.0,388030.0,388030.0,388030.0,449910.0,430000.0,430000.0,388030.0,388030.0,388030.0,388030.0,500000.0,388030.0,388030.0,430000.0,388030.0,430000.0,430000.0,500000.0,388030.0,500000.0,388030.0,500000.0,388030.0,430000.0,388030.0,430000.0
2026-12-01,400960.0,400960.0,600000.0,600000.0,600000.0,600000.0,510000.0,510000.0,400960.0,510000.0,400960.0,400960.0,400960.0,400960.0,510000.0,510000.0,400960.0,400960.0,400960.0,400960.0,464150.0,400960.0,400960.0,510000.0,400960.0,510000.0,510000.0,600000.0,400960.0,400960.0,400960.0,600000.0,400960.0,510000.0,400960.0,510000.0
