CY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
1950,12.04652785,11.5385929,11.12882366,10.88640567,11.05269437,10.96415593,7.49955001,7.746015907,7.97061721,7.162203233,7.210470585,7.414194823,7.148936807,10.51632488,10.61368538,7.428400899,7.36401114,7.400932681,7.28194437,9.703475702,9.681452212,8.848925058,8.897486896,14.46852079,14.24476171,14.3836076,14.21923619,10.65825106,10.98137933,10.75929362,10.71916875,10.8852716,10.77129977,11.14114665,6.460797005,6.398387266,6.53609514,6.54060478,12.70135829,12.91387946,12.96622328,12.42585959,8.713770426,8.703462089,8.728753904,8.845503987,6.112795934,11.51332608,11.37679696,11.30368316,11.50088779,8.86586765,10.68475115,10.60706707,11.04469398,10.52397673,11.99410326,12.95368425,7.805637164,10.66169026,10.74978678,13.41552518,13.38854071,13.01798364,13.15138856,10.43495518,10.2710205,10.38656251,10.30714255,10.30327585,10.5235652,10.83694526,10.77277948,11.63718861,11.66025961,9.600127676,9.914232496,9.649781375,9.589594017,6.90887881,6.901277474,6.67341959,8.281972522,8.561838208,8.720949521,7.441687517,7.361297217,7.468707412,8.090961521,8.434207597,8.246295273,8.324479656,9.705381084,9.694728317,8.010472899,7.627480602,7.930535464
1951,12.49789129,13.14005508,12.28554313,12.22843275,12.61407525,12.32842383,16.28455335,15.81760471,15.03204498,14.97637509,15.13014018,14.43828097,14.81700506,13.24813182,13.45083209,6.989222737,7.140344628,7.148032324,7.047979696,30.16053043,31.19694811,17.70474182,17.93597175,9.071668562,8.767323927,8.837699167,9.002443795,16.80371379,16.41279144,16.51320698,21.19781536,20.62557773,21.17709636,20.24824828,8.505912615,8.007889051,8.420417455,7.940559689,15.56072926,15.6289197,15.64671544,15.66979271,10.28848235,10.26102061,10.16423484,9.70971836,8.583993957,15.17916067,15.17543389,14.67485863,14.89116361,10.55928206,11.65365761,11.3728827,11.25504627,11.33146381,12.69104015,13.02850651,19.41514929,11.0904605,11.5519249,7.479475498,7.25368076,7.77791518,7.301579841,13.20019438,12.3464926,11.18324083,11.13223615,11.20042899,11.39489833,11.10712302,11.19539691,10.33636431,10.73263162,12.20987341,11.45794423,11.15793114,11.7958677,10.1052066,10.11971351,9.853812,13.20645229,13.49395382,13.27297254,11.88899966,12.13240314,11.90891921,16.02480167,15.53859223,16.12189779,16.4041436,10.25081336,10.34975155,18.56018751,19.46534632,20.02864102
1952,10.71615931,10.32449179,11.78329597,11.70125879,12.28248795,11.85054375,17.50566512,17.01601002,17.49701659,12.97201539,13.18259032,13.05803199,13.13436153,8.377215848,7.946687147,14.0603685,14.55479026,14.80613841,14.18928926,15.34377263,15.8967339,15.62826744,15.44784934,18.53875347,18.32463227,18.65878074,18.12860293,18.08645697,18.3541201,18.37997669,20.98681577,20.09266782,21.37858314,20.72202087,12.89964262,13.01856065,13.13937685,12.94086282,12.23447988,12.59179452,12.6283076,12.76346844,21.31919843,20.99456335,20.56357331,20.71201819,8.562041018,14.82175878,14.42112363,14.81145517,14.42716871,17.99279522,13.94384261,14.35011491,13.8882149,13.71699489,13.18931903,13.50518832,18.72187968,20.70899472,20.31244403,11.4219794,11.29704244,12.02365571,11.7938933,9.465266023,9.499200119,26.90741038,26.65252253,26.88850245,26.43466861,14.41897238,13.86171802,13.15044591,14.12048678,22.2498405,21.56480725,22.37888305,22.21240739,12.73979165,13.05367144,12.77332026,14.74597545,14.23629771,14.46408944,12.76230419,12.91193173,12.89571076,14.16097654,15.01601516,14.78177046,14.56099436,12.02946819,12.56833396,18.96151216,19.84221804,18.90884872
1953,11.29504231,11.62492391,14.38751593,14.86580134,14.08556467,14.64056045,13.71341238,14.53426076,14.08238628,24.91942179,24.8785895,24.85682458,25.3869027,13.74683246,13.18459216,17.13253408,17.03681742,17.84689603,17.39407016,16.05031648,16.05776715,15.1659548,14.85496294,12.31342257,11.75033169,11.94472104,12.16439899,14.73400616,14.76175448,14.54752566,12.42027435,12.0631678,12.0939887,12.2701821,9.390315055,9.335001064,9.675233296,9.44170679,19.91399683,19.54287919,19.96237952,20.14060574,19.22964893,18.68100002,18.43486973,18.77000091,10.56637261,14.63748807,14.92460241,14.68580801,14.23742438,13.95159487,17.12243113,17.48758685,18.01772602,17.76612871,13.79137952,13.25802587,20.67748378,17.86690052,17.47298832,15.14134096,14.5513533,15.09406264,15.10224988,19.24904582,18.85329437,12.85325092,13.39834937,13.26383732,13.58027205,15.64245011,16.16167771,16.07185061,15.72734582,13.4892461,13.57689043,13.39327859,13.60511778,17.53209779,17.61458477,17.86415619,8.312232774,8.379950083,8.496676979,13.41159888,12.88991163,13.09961558,7.698363808,7.69098355,7.647136344,7.607955788,7.073958347,7.456074347,20.54080247,21.02522275,19.92159245
1954,12.76185013,13.25912259,24.95628301,25.31781568,24.18050229,24.57696038,14.23516076,14.90878062,15.22061117,10.17031093,10.19952101,10.40595354,10.18505447,11.23812906,11.2138843,11.95987329,12.85986236,12.40701479,12.39612908,12.52496454,12.20584046,18.43004152,18.97201355,16.99560793,17.35117853,18.07309545,17.78255151,19.53548763,19.51644177,19.88044754,12.15089808,11.76206212,11.87197347,11.570717,15.063694,15.56059783,15.45266083,15.10964577,16.61551123,16.95170991,16.4752514,16.61353414,12.39320698,11.72835527,12.14638677,12.12585306,14.94775999,10.80029683,10.75298116,10.87409988,11.23820684,22.90384084,18.0786187,18.1505884,18.72908805,18.10538305,15.11110766,15.65312467,21.66430316,23.5088449,23.64857252,22.41625398,22.30424458,22.04093468,22.05386061,11.43523956,11.82347488,11.37182323,10.83330571,11.35413806,11.14234955,15.2744641,15.01629856,14.5853189,14.81754847,19.71417977,20.31122801,19.8991656,19.11684173,13.43908923,13.76410403,13.41515306,10.58939248,11.218839,11.62736876,15.86454305,15.39021138,15.69263381,13.02684811,13.41058013,13.4790983,12.87897429,8.346918843,8.300175471,22.02509129,20.87330656,21.675077
1955,11.95839388,12.70195757,17.26553673,18.3384188,18.76464061,17.94541293,19.66626407,19.4669346,19.90226015,10.06335568,9.955107312,9.766946142,10.14466506,10.09791568,9.852013904,10.10109243,10.12019484,10.08188926,10.22555472,18.1326913,17.74353435,14.12242986,13.89834871,15.93345552,15.53548209,15.77939189,15.40452785,14.60724083,14.77883867,14.81999417,10.74817664,11.05117004,10.79582184,10.92896571,17.77734026,17.25984686,17.1119974,17.92038428,14.27041345,13.54905638,13.49570521,14.29219868,17.47164438,18.31547613,18.67349371,17.68437979,16.55394922,12.31705176,12.71322407,12.21141614,12.18710507,11.06963881,15.04402512,14.7158667,15.02020145,15.09012365,14.65854462,14.50354284,14.82455917,10.05527657,10.42225313,15.83190391,15.4959122,15.19321745,15.80824578,13.66880501,13.4933667,9.79129674,9.632686909,9.656478347,10.1335635,11.67710577,12.17628091,11.34318498,11.53437467,14.08509388,14.0753899,13.88849024,14.21365527,23.58917375,22.58595741,22.45475748,13.73040633,13.33644236,13.82765125,14.25959911,14.8048413,14.68351186,14.28405525,14.61177731,14.45514696,14.37492105,11.57282194,12.04797287,15.41162519,15.12261683,15.6912342
1956,12.71735601,12.91857433,18.24509357,18.19791743,17.90215787,17.78624477,14.85046302,15.24543057,14.94228268,17.12950925,16.67986342,16.78243589,16.80541894,11.99623388,11.77849327,8.392914922,8.171907947,8.485190936,8.168377507,15.27160499,15.4802956,13.38134501,13.1589187,12.86673903,12.8086344,12.19434881,12.67880503,11.96271092,11.07046532,11.0461277,20.6991931,21.11646541,20.27304587,20.96973884,25.87604283,25.75477081,25.44164099,24.91461378,14.5793471,14.81394664,14.68576026,14.64888133,14.9650203,15.09071121,15.13382087,15.26537883,25.90600506,9.67163639,10.13579566,10.05013918,9.883137223,23.34266799,16.6497985,17.34780052,17.47840502,16.83542005,13.60059836,14.02096264,10.84121113,13.95317877,13.70641323,10.91000442,11.12382383,11.1817219,11.31162303,11.27059246,10.95748173,14.03785089,13.59203383,13.7652289,13.48160559,13.78589768,13.6846587,13.51652289,13.93992543,7.971850354,7.678524536,8.09802486,7.888874936,20.38493786,20.29484737,20.09627681,16.08374658,15.47385713,15.62754702,15.70311703,16.00904723,16.73390953,16.50095226,16.82136365,16.53361793,16.93693442,14.45372164,14.60921254,10.23916009,10.52502738,10.8913558
1957,14.01642288,13.95264897,13.11121472,13.38632087,13.37743236,13.12505823,8.542399934,8.375622783,8.290728159,18.48737209,18.14301574,18.28777369,17.95341967,10.84315375,10.76622625,19.89354236,19.69006179,19.22520248,19.31103213,10.99993029,11.31549644,9.013466698,9.063272192,23.61932922,23.47112281,24.08772028,24.0766946,9.845167894,9.663850473,9.690361428,12.3567426,12.0298222,11.4860883,11.68760969,18.45169872,17.73096484,17.69160474,18.80373636,19.14460818,19.2745367,19.90866615,20.09931479,17.69262315,18.03435531,17.25419498,18.16014966,20.5088566,12.02254661,12.55885745,12.86085943,12.48700717,20.86622374,17.87627504,18.71918608,18.84116075,18.65414747,13.98317691,13.79209972,15.38322744,15.96969753,16.6605173,14.47156766,14.97892036,14.64173435,14.31712169,12.40702919,12.18525562,14.41492372,14.75145025,14.16460873,15.0418373,10.95091638,10.46345336,11.11350559,10.8691706,9.578360926,9.876154036,9.398473626,9.292438017,9.966446321,9.223839531,10.26358344,13.51242617,13.68954016,13.30096927,11.03808151,11.04864678,10.99241359,17.0521683,17.03816083,17.21486329,17.45392479,18.73844862,18.85466164,14.89310339,15.03982151,15.17542187
1958,11.79352697,12.31281185,18.91070775,19.34435786,18.96865133,20.22982754,13.43566149,13.83526475,13.30487913,13.7779612,13.56999368,14.2995913,13.43331172,11.61878364,12.29206296,17.85381824,18.02918983,18.54836083,18.16432332,9.583537091,9.138916046,9.604396145,9.957316264,27.2116441,27.360614,27.27720083,27.20208151,16.0324252,15.94680926,15.89384015,20.86737864,22.01210749,21.09853714,21.140258,11.93890257,11.54730365,12.04369613,11.50185786,32.11384939,32.28837866,31.11239699,30.87967377,19.83696932,19.24697778,19.5277508,18.98777982,16.23104083,10.85969224,11.29454763,11.13622586,10.70417135,12.1716841,10.28775178,10.12198387,10.01364607,9.941092423,14.3323434,14.69353027,10.91553045,12.25417244,12.34324056,25.13193239,26.15962491,25.92150123,25.39752474,20.41873093,20.5862706,21.44231538,21.51064659,20.01701657,21.13432427,15.17066483,15.25599132,15.26192789,15.04416766,13.56869887,12.60029304,13.04802643,13.12306824,16.94265917,16.68092884,17.0612758,24.81772792,23.65776272,24.37057214,13.0153493,12.86119321,13.11073426,17.27672644,17.6599491,18.34757472,17.35441634,25.36043389,25.89881532,11.07390391,10.53473911,10.58213821
1959,10.48141474,10.39235748,13.41302047,13.62142961,13.29567356,13.74998043,8.17388156,7.746763299,7.846460231,14.95210834,15.28657379,15.41752491,14.77307266,11.99366628,12.43579168,12.14925314,11.44144421,11.92870102,11.89051696,14.79571496,14.43826691,9.461419279,9.079047094,22.17857889,21.95713039,22.67759478,23.03737204,10.51206504,9.839461726,9.699689712,23.78794653,22.76809436,22.67551529,22.93267845,13.88836439,13.7450467,13.18850001,13.96089844,18.52894066,17.96754127,18.57728769,19.17465836,10.98892737,10.71384478,10.98681193,10.6684705,13.91927213,11.13596658,11.78714283,11.62312372,11.63649281,10.94987016,14.71711075,14.24486632,14.42821452,14.60382369,17.02173247,17.29750883,16.49156037,11.81754625,11.83050401,21.1156801,20.54274591,20.83680438,21.27497522,17.46718863,17.16163119,14.03528138,14.76087598,15.01603912,15.6503707,17.29580577,17.29328313,16.45983041,17.18545033,11.42206221,10.57286309,10.99724549,10.9912494,13.99396768,14.46287887,14.35211633,28.64664948,28.63416885,28.43903088,14.49197972,14.00185115,14.2290792,9.166386228,9.709759101,9.570178433,9.576418929,16.53759485,15.93264825,17.09631416,16.2352774,16.91393661
