date,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
2026-04-01,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348,374484.348
2026-05-01,380030.0,360960.0,571220.0,306678.079,304127.383,459160.291,365860.0,372820.0,435600.0,309900.0,529990.0,495110.0,320410.0,343290.0,296930.0,409070.0,308220.0,472530.0,360890.0,414880.0,299530.0,325670.0,388610.0,415380.0,230360.0,436050.0,356470.0,463420.0,284460.0,415170.0,344570.0,715330.0,291610.0,361120.0,402130.0,275380.0
2026-06-01,270680.0,266930.0,481350.0,327365.081,312260.177,505035.078,164090.0,383070.0,148140.0,264560.0,227730.0,512780.0,306340.0,257500.0,146650.0,366610.0,371130.0,227750.0,269710.0,225040.0,220690.0,417150.0,139260.0,331030.0,152950.0,242570.0,225980.0,342550.0,263930.0,292940.0,142300.0,674190.0,165790.0,305010.0,289780.0,221580.0
2026-07-01,285060.0,313340.0,294470.0,268684.061,309716.285,217524.406,221520.0,394690.0,260130.0,267150.0,349820.0,363230.0,269320.0,252060.0,248730.0,307550.0,282580.0,274590.0,281950.0,257410.00000000003,240410.0,301900.0,247250.0,273810.0,230110.0,268380.0,255160.0,304280.0,247310.0,296260.0,273390.0,524950.0,245050.0,289830.0,261500.0,283180.0
2026-08-01,351930.0,357270.0,420570.0,343517.608,362815.203,358824.641,287410.0,358570.0,310970.0,318390.0,409750.0,392910.0,357220.0,326260.0,311980.0,375240.0,370820.0,343440.0,346740.0,315150.0,283830.0,351720.0,327630.0,320220.0,287970.0,309670.0,288120.0,364920.0,361870.0,392050.0,315380.0,461360.0,291740.0,302860.0,303400.0,353450.0
2026-09-01,324440.0,338570.0,456330.0,328914.871,339152.629,409938.293,281780.0,309310.0,292510.0,279080.0,433330.0,376970.0,355420.0,376040.0,283890.0,356950.0,308310.0,303170.0,304050.0,332090.0,292310.0,315130.0,307210.0,339220.0,312830.0,293800.0,290010.0,343120.0,342110.0,396760.0,312830.0,413310.0,269640.0,344830.0,316660.0,338670.0
2026-10-01,391620.0,463720.0,581010.0,388432.005,463517.987,621335.093,354890.0,376670.0,433800.0,409320.0,471570.0,456140.0,506590.0,547560.0,348780.0,425870.0,459420.0,365260.0,373870.0,478520.0,846820.0,449390.0,463610.0,384860.0,410240.0,348730.0,431100.0,373000.0,398710.0,591100.0,433760.0,463390.0,400800.0,420880.0,359610.0,359280.0
2026-11-01,434920.0,483910.0,499920.0,429063.635,480972.192,522471.478,400030.0,392680.0,401040.0,379650.0,431810.0,424180.0,423350.0,493940.0,346750.0,429220.0,432500.0,387320.0,374020.0,455940.0,503490.0,447280.0,534230.0,387860.0,394930.0,365590.0,403660.0,365330.0,464770.0,463730.0,433760.0,435590.0,419960.0,417750.0,382660.0,401700.0
2026-12-01,443870.0,431870.0,453910.0,437860.466,425860.466,457648.201,372980.0,396190.0,361160.0,361740.0,403780.0,384470.0,381130.0,395330.0,350780.0,381740.0,416030.0,369310.0,373000.0,410720.0,403260.0,375010.0,393470.0,378370.0,361320.0,360790.0,354420.0,356060.0,396510.0,387140.0,433670.0,424230.0,376140.0,355800.0,358570.0,373980.0
2027-01-01,436300.0,411260.0,493750.0,421622.259,405721.421,463555.334,329220.0,355370.0,354210.0,332000.0,504820.0,384720.0,370180.0,362510.0,327630.0,352830.0,414950.0,343560.0,383440.0,380760.0,359800.0,351010.0,540190.0,348100.0,327250.0,328510.0,336650.0,335280.0,362570.0,358490.0,403480.0,435080.0,383890.0,326830.0,444320.0,341820.0
