date,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
2026-04-01,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485,470514.485
2026-05-01,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0,460000.0
2026-06-01,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0,509000.0
2026-07-01,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0
2026-08-01,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0,482000.0
2026-09-01,466430.0,466430.0,466430.0,466430.603,466430.603,466430.603,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0,466430.0
2026-10-01,480000.0,480000.0,643000.0,480000.0,480000.0,480000.0,480000.0,480000.0,643000.0,410000.0,643000.0,480000.0,480000.0,480000.0,410000.0,410000.0,643000.0,480000.0,480000.0,643000.0,480000.0,480000.0,480000.0,480000.0,480000.0,410000.0,480000.0,480000.0,480000.0,480000.0,643000.0,643000.0,643000.0,480000.0,643000.0,480000.0
2026-11-01,500000.0,500000.0,642000.0,500000.0,500000.0,500000.0,500000.0,500000.0,615650.0,430000.0,642000.0,500000.0,500000.0,500000.0,430000.0,430000.0,642000.0,500000.0,500000.0,642000.0,500000.0,500000.0,500000.0,500000.0,500000.0,430000.0,500000.0,500000.0,500000.0,500000.0,591020.0,642000.0,418650.0,500000.0,641640.0,500000.0
2026-12-01,600000.0,600000.0,715000.0,600000.0,600000.0,600000.0,434820.0,600000.0,400960.0,510000.0,715000.0,600000.0,600000.0,600000.0,510000.0,510000.0,612340.0,600000.0,600000.0,557720.0,600000.0,600000.0,600000.0,600000.0,400960.0,510000.0,595400.0,600000.0,600000.0,600000.0,409910.0,715000.0,400960.0,600000.0,400960.0,592440.0
2027-01-01,689850.0,664000.0,857590.0,664000.0,664000.0,664000.0,400960.0,664000.0,400960.0,570000.0,678770.0,751010.0,664000.0,726670.0,570000.0,570000.0,400960.0,445830.0,428070.0,400960.0,664000.0,664000.0,725050.0,539050.0,400960.0,570000.0,400960.0,601280.0,495090.0,718970.0,402330.0,857000.0,400960.0,489950.0,400960.0,400960.0
