datetime,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
12/1/2025,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353,501018.353
1/1/2026,674780,674780,674780,625000,625000,625000,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,570000,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780,674780
2/1/2026,644780,644780,644780,525000,525000,525000,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,500000,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780,644780
3/1/2026,762780,762780,762780,500000,500000,500000,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,530000,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780,762780
4/1/2026,539780,539780,539780,490000,490000,490000,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,470000,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780,539780
5/1/2026,599780,599780,599780,600000,600000,600000,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,470000,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780,599780
6/1/2026,712780,712780,712780,800000,800000,800000,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,500000,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780,712780
7/1/2026,798780,798780,798780,890000,890000,890000,798780,798780,798780,798780,798780,798780,798780,798780,796260,798780,798780,798780,798780,798780,798780,798780,798780,798780,560000,798780,798780,798780,798780,798780,798780,798780,798780,798780,798780,798780
8/1/2026,763520,763520,763520,900000,900000,900000,763520,763520,763520,763520,763520,763520,763520,763520,400960,763520,763520,763520,763520,615300,763520,763520,763520,763520,530710,763520,763520,763520,763520,763520,763520,763520,763520,763520,763520,763520
9/1/2026,501780,388030,501780,668740,668740,668740,501780,501780,425800,501780,501780,501780,501780,501780,388030,501780,501780,501780,501780,388030,501780,501780,501780,501780,388030,501780,501780,501780,501780,501780,501780,501780,501780,501780,388030,501780
10/1/2026,480000,480000,480000,480000,480000,480000,480000,480000,480000,480000,643000,480000,480000,480000,410000,480000,643000,480000,480000,480000,480000,480000,480000,480000,440310,410000,480000,480000,480000,480000,480000,643000,643000,480000,403450,480000
11/1/2026,500000,432810,500000,500000,500000,500000,388030,500000,441230,500000,642000,463310,500000,500000,430000,500000,642000,500000,500000,404740,500000,500000,500000,500000,388030,430000,500000,500000,500000,500000,500000,642000,425680,500000,388030,500000
12/1/2026,600000,400960,600000,600000,600000,600000,400960,600000,400960,600000,715000,400960,600000,536930,510000,600000,715000,600000,600000,400960,600000,600000,439650,600000,400960,510000,600000,600000,600000,600000,600000,715000,400960,600000,400960,600000
1/1/2027,664000,400960,723000,664000,664000,723000,400960,723000,400960,723000,804960,400960,664000,400960,570000,723000,703900,664000,788640,400960,595280,723000,509110,664000,400960,570000,664000,723000,785710,723000,723000,857000,400960,723000,400960,664000
2/1/2027,587000,362160,639000,587000,587000,639000,362160,639000,362160,639000,675000,362160,587000,362160,500000,639000,362160,587000,697540,362160,362160,639000,511370,482690,362160,500000,587000,639000,694950,639000,639000,758000,362160,639000,362160,362160
3/1/2027,620000,400960,675000,620000,620000,675000,400960,675000,400960,675000,713000,400960,620000,400960,530000,675000,430140,620000,737110,400960,451140,675000,552690,406300,400960,530000,620000,675000,734370,675000,675000,801000,508720,675000,400960,400960
4/1/2027,552000,576510,601000,552000,552000,601000,388030,601000,658110,601000,635000,388030,552000,388030,470000,601000,853330,552000,656130,388030,847210,601000,965380,870010,388030,470000,552000,601000,653690,601000,601000,713000,668270,601000,839740,674100
5/1/2027,550000,1354370,599000,550000,550000,599000,400960,599000,1921360,599000,632000,1590050,550000,1483960,470000,599000,1765480,550000,653370,1585950,717220,599000,824340,550000,803190,470000,550000,599000,650940,599000,599000,710000,2388220,599000,1615560,871780
6/1/2027,577000,721270,628000,577000,577000,628000,1688890,628000,676450,628000,663000,643570,577000,577000,500000,628000,798000,577000,685570,1055850,577000,628000,621310,577000,1545410,500000,577000,628000,683030,628000,628000,745000,922700,628000,626990,577000
7/1/2027,652000,652000,709000,652000,652000,709000,821470,709000,764520,709000,749000,652000,652000,652000,560000,709000,902000,652000,774840,715710,652000,709000,701450,652000,652000,560000,652000,709000,771960,709000,709000,842000,902000,709000,707870,652000
8/1/2027,696000,660220,758000,696000,696000,758000,443720,758000,817180,758000,900000,696000,696000,696000,600000,758000,963000,696000,828210,764440,696000,758000,749930,696000,607970,600000,696000,758000,825130,758000,758000,900000,963000,758000,756790,696000
9/1/2027,522000,388030,568000,522000,522000,568000,431980,568000,611980,568000,600000,522000,522000,522000,450000,568000,722000,522000,620240,573330,522000,568000,561950,522000,388030,450000,522000,568000,617930,568000,568000,674000,674000,568000,567090,522000
10/1/2027,480000,400960,643000,480000,480000,643000,400960,480000,480000,643000,480000,643000,643000,480000,400960,480000,643000,643000,480000,480000,643000,480000,480000,643000,400960,410000,410000,480000,480000,480000,643000,643000,643000,480000,643000,643000
11/1/2027,500000,388030,642000,500000,500000,642000,388030,500000,500000,642000,500000,642000,642000,500000,388030,500000,642000,642000,500000,500000,642000,500000,500000,642000,388030,430000,430000,500000,500000,500000,642000,642000,642000,500000,642000,388030
12/1/2027,600000,400960,715000,600000,600000,715000,400960,600000,600000,715000,600000,715000,715000,600000,400960,600000,715000,715000,600000,600000,715000,600000,600000,663120,400960,510000,510000,600000,600000,600000,715000,715000,715000,600000,715000,400960
