"Upper Colorado River System, Consumptive Uses and Losses 1971-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Interior Region 7: Upper Colorado Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,averages,,
USE TYPE,,,STATE,HUC,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,, 10 yr , 20 yr , 30 yr 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL CONSUMPTIVE USE (Includes undistributed reservoir evaporation),,,,,,"3,658,567 ","3,739,700 ","3,636,568 ","4,061,138 ","3,887,173 ","3,753,170 ","3,120,955 ","4,001,077 ","4,070,013 ","4,097,732 ","4,115,152 ","4,161,712 ","4,086,068 ","3,987,616 ","4,264,431 ","4,226,619 ","4,293,844 ","4,697,624 ","4,712,412 ","4,409,088 ","4,171,588 ","3,860,521 ","4,120,825 ","4,446,529 ","3,962,240 ","4,480,418 ","4,045,901 ","4,214,217 ","4,492,860 ","4,779,726 ","4,940,381 ","3,991,405 ","4,267,451 ","3,940,336 ","4,335,023 ","4,233,799 ","4,469,490 ","4,485,805 ","4,465,003 ","4,400,446 ","4,441,872 ","4,624,963 ","3,563,178 ","4,012,007 ","3,976,450 ","4,308,611 ","4,709,288 ","4,540,771 ","4,623,573 ","4,851,257 ","3,928,805 ","4,051,607 ","4,712,049 ","4,472,497 ","8,448 ",," 4,417,491 "," 4,360,325 "," 4,344,048 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arizona,,san juan-colorado river," 11,100 "," 12,200 "," 11,400 "," 19,125 "," 23,674 "," 30,507 "," 33,871 "," 32,875 "," 33,913 "," 36,872 "," 41,393 "," 39,334 "," 41,203 "," 43,600 "," 45,671 "," 37,141 "," 38,088 "," 41,341 "," 39,532 "," 35,880 "," 34,499 "," 36,943 "," 35,991 "," 36,387 "," 36,272 "," 34,192 "," 34,319 "," 37,106 "," 38,357 "," 39,865 "," 38,478 "," 38,172 "," 36,603 "," 37,157 "," 36,821 "," 36,288 "," 36,400 "," 34,866 "," 35,301 "," 34,278 "," 34,066 "," 32,990 "," 34,099 "," 34,708 "," 28,708 "," 28,461 "," 28,859 "," 29,175 "," 29,538 "," 10,160 "," 10,907 "," 10,676 "," 12,329 "," 12,436 ", -   ,,,,
,,,Colorado,,green river," 170,399 "," 148,717 "," 141,597 "," 162,402 "," 147,668 "," 137,112 "," 120,325 "," 158,272 "," 158,604 "," 156,959 "," 187,113 "," 172,462 "," 165,777 "," 165,352 "," 166,471 "," 153,989 "," 171,379 "," 223,942 "," 203,125 "," 205,024 "," 182,617 "," 156,003 "," 178,494 "," 219,912 "," 144,042 "," 198,229 "," 137,253 "," 171,935 "," 159,029 "," 198,373 "," 215,354 "," 193,827 "," 192,113 "," 161,572 "," 177,762 "," 173,168 "," 189,874 "," 195,123 "," 171,921 "," 207,077 "," 180,285 "," 208,196 "," 164,460 "," 191,218 "," 191,643 "," 201,438 "," 188,910 "," 238,912 "," 179,441 "," 238,448 "," 179,116 "," 190,328 "," 226,749 "," 196,640 ", 334 ,,,,
,,,,,upper main stem," 1,466,876 "," 1,526,171 "," 1,306,802 "," 1,730,710 "," 1,686,731 "," 1,606,755 "," 1,464,203 "," 1,831,797 "," 1,630,435 "," 1,632,839 "," 1,853,006 "," 1,799,667 "," 1,647,381 "," 1,594,057 "," 1,737,404 "," 1,573,630 "," 1,557,605 "," 1,868,393 "," 1,958,056 "," 1,733,922 "," 1,578,918 "," 1,381,290 "," 1,491,933 "," 1,661,273 "," 1,362,044 "," 1,577,108 "," 1,380,330 "," 1,486,412 "," 1,462,467 "," 1,887,804 "," 1,872,341 "," 1,506,846 "," 1,643,849 "," 1,573,176 "," 1,503,919 "," 1,691,787 "," 1,715,090 "," 1,821,689 "," 1,728,248 "," 1,573,594 "," 1,845,546 "," 1,887,421 "," 1,324,063 "," 1,528,823 "," 1,373,199 "," 1,682,693 "," 1,770,207 "," 1,761,842 "," 1,828,338 "," 1,833,976 "," 1,508,328 "," 1,594,383 "," 1,920,720 "," 1,666,193 "," 1,433 ",,,,
,,,,,san juan-colorado river," 212,338 "," 231,179 "," 213,392 "," 107,894 "," 92,349 "," 48,871 "," 83,417 "," 48,927 "," 77,372 "," 60,856 "," 79,526 "," 84,010 "," 107,931 "," 109,926 "," 97,151 "," 80,994 "," 165,476 "," 185,151 "," 241,101 "," 161,711 "," 106,411 "," 123,858 "," 115,673 "," 118,005 "," 138,925 "," 89,693 "," 79,152 "," 111,179 "," 166,103 "," 96,211 "," 119,993 "," 115,380 "," 130,058 "," 74,164 "," 136,875 "," 74,547 "," 120,324 "," 76,644 "," 158,358 "," 54,254 "," 6,664 "," 59,890 "," 20,321 "," 17,034 "," 13,217 "," 49,286 "," 85,785 "," 68,648 "," 75,744 "," 90,063 "," 116,840 "," 62,283 "," 154,257 "," 54,492 ", 376 ,,,,
,,,,,Total," 1,849,613 "," 1,906,067 "," 1,661,791 "," 2,001,006 "," 1,926,749 "," 1,792,738 "," 1,667,944 "," 2,038,995 "," 1,866,412 "," 1,850,654 "," 2,119,645 "," 2,056,138 "," 1,921,089 "," 1,869,335 "," 2,001,026 "," 1,808,612 "," 1,894,460 "," 2,277,486 "," 2,402,282 "," 2,100,657 "," 1,867,946 "," 1,661,152 "," 1,786,100 "," 1,999,189 "," 1,645,011 "," 1,865,031 "," 1,596,736 "," 1,769,526 "," 1,787,598 "," 2,182,388 "," 2,207,688 "," 1,816,053 "," 1,966,020 "," 1,808,912 "," 1,818,557 "," 1,939,502 "," 2,025,288 "," 2,093,456 "," 2,058,527 "," 1,834,925 "," 2,032,494 "," 2,155,507 "," 1,508,844 "," 1,737,075 "," 1,578,059 "," 1,933,417 "," 2,044,902 "," 2,069,402 "," 2,083,523 "," 2,162,487 "," 1,804,285 "," 1,846,994 "," 2,301,726 "," 1,917,325 "," 2,143 ",,,,
