date,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
2026-03-01,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91,314360.91
2026-04-01,463650.0,226440.0,923340.0,465406.665,229623.738,900358.378,408060.0,407750.0,462810.0,456590.0,438730.0,400990.0,444510.0,418840.0,430900.0,472870.0,457640.0,474070.0,402000.0,430030.0,525310.0,460470.0,594300.0,465650.0,446900.0,467180.0,446400.0,448380.0,501630.0,470220.0,438130.0,417070.0,493060.0,423450.0,423350.0,456970.0
2026-05-01,456650.0,286290.0,787220.0,404800.145,265427.799,798773.127,341590.0,487070.0,447030.0,329400.0,670190.0,430110.0,248520.0,530740.0,243050.0,626610.0,364540.0,618080.0,280860.0,359310.0,189020.0,308720.0,498520.0,493930.0,109070.0,681830.0,378140.0,931070.0,395780.0,651400.0,424740.0,960410.0,531720.0,483380.0,315000.0,258570.0
2026-06-01,325760.0,233110.0,522299.99999999994,318569.236,248343.611,616736.131,83480.0,577310.0,100990.0,264380.0,423930.0,669640.0,351710.0,438700.0,10.0,1005470.0,712990.0,343490.0,390400.0,151650.0,76300.0,498030.0,81900.0,413840.0,10.0,170220.0,98750.0,840340.0,287500.0,602880.0,178650.0,1400310.0,175460.0,578830.0,221490.0,372970.0
2026-07-01,250960.0,248840.0,255060.0,224228.084,228459.051,223143.415,124660.0,626430.0,178970.0,216940.0,362690.0,546940.0,206100.0,244200.0,77470.0,943960.0,505040.0,486030.0,337910.0,102400.0,58140.0,368400.0,238120.0,189120.0,72410.0,144220.0,87920.0,832740.0,378390.0,403970.0,232520.0,1669690.0,104940.0,424750.0,147330.0,375650.0
2026-08-01,293150.0,290840.0,366780.0,296729.132,303584.686,353219.686,209150.0,316730.0,255300.0,261140.0,375240.0,328430.0,291830.0,289950.0,231770.0,396240.0,353500.0,337410.0,284600.0,255360.0,222030.0,307830.0,278090.0,251070.0,212930.0,253870.0,209030.0,444070.0,315410.0,374170.0,257260.0,453980.0,243690.0,294140.0,244930.0,311000.0
2026-09-01,268940.0,293270.0,399210.0,273564.631,305935.083,395649.217,216750.0,268130.0,244990.0,225900.0,395100.0,310070.0,291900.0,334220.0,217290.0,369970.0,283330.0,300400.0,248610.0,265770.0,227180.0,265800.0,261670.00000000003,281390.0,244820.0,233100.0,225110.0,375810.0,294070.0,381050.0,259720.00000000003,385690.0,219440.0,315530.0,234010.0,297850.0
2026-10-01,321290.0,396660.0,522730.0,327393.4,394234.3,540075.959,281640.0,316720.0,367850.0,341330.0,407270.0,380220.0,435790.0,500630.0,275390.0,409150.0,403700.0,328720.0,308140.0,405040.0,771160.0,383440.0,405930.0,318600.0,331520.0,284530.0,357270.0,365140.0,338500.0,546060.0,375360.0,429530.0,343990.0,365510.0,283280.0,304650.0
2026-11-01,357290.0,408530.0,432940.0,367093.174,410501.322,449154.017,317010.0,318250.0,325320.0,302670.0,357780.0,341260.0,345730.0,431520.0,264510.0,396190.0,366170.0,318550.0,300460.0,374980.0,422470.0,372770.0,467600.0,313150.0,309370.0,293870.0,320940.0,341150.0,396020.0,401970.0,364770.0,389010.0,352100.0,351690.0,297310.0,329360.0
2026-12-01,363940.0,351160.0,429090.0,363563.847,346547.365,380052.582,288990.0,333620.0,282080.0,282380.0,382640.0,319010.0,301710.0,326100.0,267330.0,376820.0,360820.0,295030.0,294860.0,328520.0,321910.0,295470.0,336140.0,299870.0,276040.0,285440.0,271690.0,344260.0,339910.0,334560.0,357280.0,421430.0,303200.0,309010.0,273460.0,324490.0
