datetime,ESP Most,ESP Min,ESP Max,24MS MOST PROB,24MS MIN PROB,24MS MAX PROB,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
12/1/2025,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019,312811.019
1/1/2026,298400,298400,360540,301242.312,301242.312,301242.312,292430,367850,302590,453230,350590,299260,288230,295410,295690,287880,301770,339430,323940,291450,295460,384860,293270,293390,290440,302000,344990,306950,341580,314240,357140,376610,290220,416920,296270,292450
2/1/2026,318740,277090,335400,277937.603,277937.603,277937.603,294700,351900,316060,453180,322550,317790,285710,278920,273990,295180,331280,307270,346650,261280,265840,435350,272230,277130,253200,267970,346050,324080,330510,333830,327230,333750,270580,493790,278770,290080
3/1/2026,367990,367990,378030,377034.772,377133.946,392404.772,320750,442540,326830,719180,367390,412740,344090,316660,298770,313340,400780,368510,334350,361980,317620,425410,394140,382920,261300,381220,384620,316440,304390,358910,408730,591580,352730,401260,357800,337620
4/1/2026,504530,360850,886530,512510.341,353785.691,927320.419,336330,703360,379490,970840,383630,354140,319060,319990,535190,448230,442870,396420,291790,479190,528410,586340,843040,446990,356620,453210,641830,383700,513890,553170,556960,551370,485840,728700,512950,355090
5/1/2026,888510,571700,1758970,815511.245,510928.198,1747813.21,750950,2166980,918150,1397470,1011940,437700,744450,612240,705760,918850,486810,1290340,846020,793460,936250,1438180,844420,989620,231020,1226840,1684370,1193890,1025000,1361710,1629830,2190750,1037560,2281430,860230,490760
6/1/2026,1093090,688030,2247570,1091904.98,710389.232,2267162.67,807550,2491550,515570,1131740,1032510,903210,1298860,896800,170490,2029650,1411360,1039880,1598590,435630,629360,1677910,244520,1153410,230440,625380,1035300,1462140,1209240,1414210,1239430,2888910,621410,2406620,544840,1261050
7/1/2026,576760,448240,951020,596651.009,426094.498,964049.079,370310,1484670,343060,660580,630770,484600,682460,395080,227050,1569770,608510,824730,1133900,258290,309480,711850,305710,496340,186850,303010,453780,1097790,838940,645770,799730,2262840,340750,1154320,270730,658000
8/1/2026,405860,365120,631810,412878.295,363632.249,642273.784,349260,577140,348820,482690,472710,359530,475710,346690,300760,611220,456380,459470,518940,282200,292210,457430,336990,378880,222060,286030,384030,568490,520200,504130,430820,794890,320360,491430,241070,431590
9/1/2026,404220,329720,632530,417986.225,342353.07,591751.841,332430,507080,323260,433750,507140,350060,479080,435420,267700,503870,385530,369960,451440,329900,341230,424760,331600,424100,283080,307020,382770,539510,464750,566420,413460,603300,324030,584870,311770,433880
